
Metric	DT	PS	TAP 	TAV	TBP
L1_MU8F_cTAU20M_3jJ30	0.05	1.00	280.62	268.26	280.47
L1_jJ125	0.01	100.00	265.29	26.23	26387.30
L1_MU5VF_3MU3VF	0.06	1.00	265.26	248.86	265.26
L1_3J50	0.05	1.00	228.32	218.55	228.30
L1_3jJ90	0.05	1.00	215.66	206.04	215.65
L1_XE50	0.01	7.00	199.64	197.52	1395.26
L1_jJ55p0ETA23_2jJ40p30ETA49	0.05	1.00	199.62	190.50	199.63
L1_LAR-ZEE-eEM	0.00	1.00	176.83	28.41	176.86
L1_gXEJWOJ120	0.04	7.20	164.97	158.58	1152.74
L1_gXEJWOJ110	0.04	12.10	161.70	154.66	1915.49
L1_MU4BOM	0.07	143.45	156.86	146.56	22771.20
L1_gXEJWOJ100	0.04	20.93	155.88	148.89	3271.46
L1_MU3V_J15	0.04	200.34	153.31	146.60	31280.60
L1_BPH-0M10-3MU3VF	0.07	1.00	143.04	133.29	143.04
L1_eEM26L	0.05	92.89	142.55	135.86	13479.30
L1_DY-BOX-2MU5VF	0.06	12.00	139.17	131.15	1638.13
L1_2eEM10L_MU8F	0.05	1.00	136.28	130.08	136.28
L1_5jJ40p0ETA25	0.05	1.00	132.97	127.38	132.97
L1_4MU3V	0.05	1.00	131.54	125.31	131.54
L1_gJ100p0ETA25	0.04	13.47	130.01	124.02	1783.63
L1_MU14FCH_jJ90	0.04	1.00	124.23	119.79	124.15
L1_JPSI-1M5-eEM15	0.04	351.20	124.09	119.34	42801.30
L1_cTAU30M_2cTAU20M	0.04	173.08	118.57	113.37	20372.90
L1_gJ20p25ETA49	0.04	945.20	118.12	112.87	112791.00
L1_HT150-jJ50s5pETA32_jMJJ-400-CF	0.05	1.00	115.76	110.61	115.69
L1_cTAU30M_2cTAU20M_DR-eTAU30eTAU20	0.04	44.58	113.03	107.62	5053.30
L1_MU5VF_J40	0.05	12.94	108.47	103.62	1400.00
L1_cTAU30M_2cTAU20M_DR-eTAU30MeTAU20M	0.05	42.43	105.22	100.95	4379.45
L1_MU5VF_jJ80	0.04	12.75	103.09	99.27	1275.98
L1_10DR-MU14FCH-MU5VF	0.05	1.00	94.27	88.73	94.19
L1_3MU5VF	0.07	1.00	91.62	86.18	91.62
L1_MU3V_UNPAIRED_ISO	0.16	1.00	90.59	77.01	90.67
L1_jJ90p30ETA49	0.05	16.28	89.09	84.49	1438.78
L1_MU14FCH_jXE80	0.04	1.00	72.60	70.40	72.60
L1_eEM24L_3eEM12L	0.04	1.00	70.49	67.59	70.49
L1_jJ40	0.05	5104.11	68.38	65.19	358670.00
L1_AFP_FSC_TOF_T1_BGRP12	0.04	479349.00	65.15	61.56	28395200.00
L1_eEM24L	0.04	344.00	61.47	58.73	19510.60
L1_BTAG-MU3VjJ40	0.05	56.49	59.82	57.02	3316.27
L1_MU3VF	0.05	10034.20	58.81	55.83	564577.00
L1_MU10BO	0.05	126.84	57.67	54.50	7333.12
L1_DPHI-M70-2eEM9	0.04	909.29	57.57	54.96	56263.80
L1_AFP_FSC_TOF_T0_BGRP12	0.04	479349.00	55.35	52.45	28395200.00
L1_DY-BOX-2MU3VF	0.05	120.00	54.51	52.11	6829.14
L1_JPSI-1M5-eEM9	0.05	2683.07	46.88	44.92	125765.00
L1_jJ80_jXE100	0.00	599.98	45.43	2.23	27169.40
L1_jJ80_jXE120	0.01	599.98	42.79	0.67	25695.70
L1_gJ50p0ETA25	0.05	431.41	42.72	41.04	19183.60
L1_DPHI-M70-2eEM9L	0.04	150.00	39.84	38.12	5973.83
L1_eEM18L	0.04	1454.71	36.38	35.06	51235.00
L1_eEM9	0.04	29852.70	35.35	34.07	1092550.00
